c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
499, DATE '2008-07-01', 1.100000, DATE '2008-09-01'
500, DATE '2008-08-01', 1.180000, DATE '2008-10-01'
501, DATE '2008-09-01', 1.020000, DATE '2008-11-01'
502, DATE '2008-10-01', 1.120000, DATE '2008-12-01'
503, DATE '2008-11-01', 2.050000, DATE '2009-01-01'
504, DATE '2008-12-01', 0.860000, DATE '2009-02-01'
505, DATE '2009-01-01', 0.970000, DATE '2009-03-01'
506, DATE '2009-02-01', 0.840000, DATE '2009-04-01'
507, DATE '2009-03-01', 0.770000, DATE '2009-05-01'
508, DATE '2009-04-01', 0.760000, DATE '2009-06-01'
509, DATE '2009-05-01', 0.790000, DATE '2009-07-01'
510, DATE '2009-06-01', 0.690000, DATE '2009-08-01'
511, DATE '2009-07-01', 0.690000, DATE '2009-09-01'
512, DATE '2009-08-01', 0.690000, DATE '2009-10-01'
513, DATE '2009-09-01', 0.660000, DATE '2009-11-01'
396, DATE '1999-12-01', 1.450000, DATE '2000-02-01'
397, DATE '2000-01-01', 1.450000, DATE '2000-03-01'
398, DATE '2000-02-01', 1.300000, DATE '2000-04-01'
399, DATE '2000-03-01', 1.490000, DATE '2000-05-01'
400, DATE '2000-04-01', 1.390000, DATE '2000-06-01'
401, DATE '2000-05-01', 1.310000, DATE '2000-07-01'
402, DATE '2000-06-01', 1.410000, DATE '2000-08-01'
403, DATE '2000-07-01', 1.220000, DATE '2000-09-01'
404, DATE '2000-08-01', 1.290000, DATE '2000-10-01'
405, DATE '2000-09-01', 1.220000, DATE '2000-11-01'
406, DATE '2000-10-01', 1.200000, DATE '2000-12-01'
407, DATE '2000-11-01', 1.270000, DATE '2001-01-01'
408, DATE '2000-12-01', 1.020000, DATE '2001-02-01'
409, DATE '2001-01-01', 1.260000, DATE '2001-03-01'
410, DATE '2001-02-01', 1.190000, DATE '2001-04-01'
411, DATE '2001-03-01', 1.340000, DATE '2001-05-01'
412, DATE '2001-04-01', 1.270000, DATE '2001-06-01'
413, DATE '2001-05-01', 1.500000, DATE '2001-07-01'
414, DATE '2001-06-01', 1.600000, DATE '2001-08-01'
415, DATE '2001-07-01', 1.320000, DATE '2001-09-01'
416, DATE '2001-08-01', 1.530000, DATE '2001-10-01'
417, DATE '2001-09-01', 1.390000, DATE '2001-11-01'
418, DATE '2001-10-01', 1.390000, DATE '2001-12-01'
419, DATE '2001-11-01', 1.530000, DATE '2002-01-01'
420, DATE '2001-12-01', 1.250000, DATE '2002-02-01'
421, DATE '2002-01-01', 1.370000, DATE '2002-03-01'
422, DATE '2002-02-01', 1.480000, DATE '2002-04-01'
423, DATE '2002-03-01', 1.410000, DATE '2002-05-01'
424, DATE '2002-04-01', 1.330000, DATE '2002-06-01'
425, DATE '2002-05-01', 1.540000, DATE '2002-07-01'
426, DATE '2002-06-01', 1.440000, DATE '2002-08-01'
427, DATE '2002-07-01', 1.380000, DATE '2002-09-01'
428, DATE '2002-08-01', 1.650000, DATE '2002-10-01'
429, DATE '2002-09-01', 1.540000, DATE '2002-11-01'
430, DATE '2002-10-01', 1.740000, DATE '2002-12-01'
431, DATE '2002-11-01', 1.970000, DATE '2003-01-01'
432, DATE '2002-12-01', 1.830000, DATE '2003-02-01'
433, DATE '2003-01-01', 1.780000, DATE '2003-03-01'
434, DATE '2003-02-01', 1.870000, DATE '2003-04-01'
435, DATE '2003-03-01', 1.970000, DATE '2003-05-01'
436, DATE '2003-04-01', 1.860000, DATE '2003-06-01'
437, DATE '2003-05-01', 2.080000, DATE '2003-07-01'
438, DATE '2003-06-01', 1.770000, DATE '2003-08-01'
439, DATE '2003-07-01', 1.680000, DATE '2003-09-01'
